query_number,query_type,query,age_group,comments,image_count,answer,hint
1,הבנה,איפה האף של הילד?,2:00-2:06,,1,A,הורים : הצביעו על האף שלכם ואז שאלו את הילד
2,הבנה,איפה הכדור,2:00-2:06,,3,1,"עם מה אפשר לשחק מסירות, או לבעוט לשער"
3,הבנה,תראה לי ילד שישן,2:00-2:06,,2,2,
4,הבנה,איפה הדובי הגדול,2:00-2:06,,2,1,
5,הבנה,איפה הדובי על הקופסא,2:00-2:06,,3,2,
6,הבנה,איפה כל החיות,2:00-2:06,,5|10,"1,2,3,4,10",
7,הבנה,איפה האוזן של הילד?,2:07-3:00,,1,A,
8,הבנה,איפה הדובי האדום,2:07-3:00,,1,A,
9,הבנה,איפה הדובי בתוך הקופסא,2:07-3:00,,3,1,
10,הבנה,ילדה שמחזיקה בננה,2:07-3:00,,3,2,
11,הבנה,איפה ילד יושב,2:07-3:00,,2,2,
12,הבנה,מי שונה? מי לא מתאים לקבוצה?,2:07-3:00,,3,1,
13,הבנה,איפה הצעצועים\משחקים?,2:07-3:00,,5|10,"3,4,6,7,8",
14,הבנה,איפה הילד שקופץ,3:00-4:00,,2,1,
15,הבנה,איפה הילדה שקר לה,3:00-4:00,,2,1,
16,הבנה,איפה הדובי ליד הקופסא,3:00-4:00,,3,2,
17,הבנה,הצבע על הכדור הצהוב הגדול,3:00-4:00,,3,2,
18,הבנה,מה חרוז של חלון?,3:00-4:00,,3,2,
19,הבעה,מה משותף לחתול פרה וצב? כולם?,3:00-4:00,,3,,
20,הבנה,ילדה אוכלת אגס גדול וירוק,4:00-5:00,,3,1,
21,הבנה,איפה ילדה שקיבלה גלידה מאמא,4:00-5:00,,2,1,
22,הבנה,עם מה מצחצחים,4:00-5:00,,3,1,
23,הבנה,איפה כדור כחול קטן מתחת לשולחן,4:00-5:00,,4,2,
24,הבנה,ילדה עם שמלה אדומה ומטרייה סגורה,4:00-5:00,,3,1,
25,הבנה,הצבע על הכלב לפני שאתה מצביע על החתול,4:00-5:00,,2,2->1,
26,הבנה,מה שונה,4:00-5:00,,3,1,
27,הבנה,הצבע מה יקרה אחר כך,5:00-6:00,,1|3,x1|2,
28,הבנה,מי קיבל גלידה ראשון,5:00-6:00,,2,2,
29,הבנה,מי כועס כי לקחו לו צעצוע,5:00-6:00,,3,3,
30,הבעה,מה משותף למטוס וציפור?,5:00-6:00,,2,,
31,הבנה,הצבע על חיה גדולה מחתול וקטנה מסוס,5:00-6:00,,4,4,
32,הבנה,אנלוגיה-נעל:רגל זה כמו כפפה ו?,5:00-6:00,,3,3,
33,הבנה,מי נרטב כי שכח מטרייה,5:00-6:00,,2,1,
34,הבעה,מה זה?,2:00-2:06,,2,,
35,הבעה,מה הילד עושה,2:00-2:06,,1,,
36,הבעה,מה הילד עושה,2:00-2:06,,1,,
37,הבעה,זה כדור קטן וזה?,2:00-2:06,,1,,
38,הבעה,מה הילד רוצה?,2:00-2:06,,1,,
39,הבעה,זה החתול שלות וזה החתול ___ ?,2:00-2:06,,2,,
40,הבעה,תגיד לי 2 חיות שאתה מכיר?,2:00-2:06,,1,,
41,הבעה,מה זה,2:07-3:00,,1,,
42,הבעה,"הילד אוכל בננה, והילדה? ",2:07-3:00,,2,,
43,הבעה,איזה צבע זה,2:07-3:00,,3,,
44,הבעה,מה זה?,2:07-3:00,,1,,
45,הבעה,הילד מחזיק דובי גדול והילד הזה מחזיק? ,2:07-3:00,,2,,
46,הבעה,מה הילד אומר לאמא?,2:07-3:00,,1,,
47,הבעה,חזור אחריי: אמא באה הביתה,2:07-3:00,,1,,
48,הבעה,מה הילדה מרגישה?,3:00-4:00,,1,,
49,הבעה,למה הילדה בוכה,3:00-4:00,,1,,
50,הבעה,"מה קרה בהתחלה, באמצע ובסוף?",3:00-4:00,,1,,
51,הבעה,ספר מה אתה רואה בתמונה,3:00-4:00,,1,,
52,הבעה,לילדה קר. מה תעשה אם יהיה לך קר?,3:00-4:00,,1,,
53,הבעה,אתה יכול לספור לי את הארנבות?,3:00-4:00,,1,,
54,הבעה,מה עושים עם מגבת? ומה עושים עם מזלג?,3:00-4:00,,2,,
55,הבעה,למה הילד עצוב,4:00-5:00,,1,,
56,הבעה,ספר מה קרה לפי הסדר,4:00-5:00,,1,,
57,הבעה,אני אתן לך חידות ואתה תנחש מה זה? ,4:00-5:00,,1,,
58,הבעה,מה אתה רואה בתמונה? מה הילדים עושים?,4:00-5:00,,1,,
59,הבעה,מה מצחיק בתמונות?,4:00-5:00,,2,,
60,הבעה,ספר שלושה דברים על המכונית,4:00-5:00,,1,,
61,הבעה,ספר סיפור חופשי קצר- פעם אחת הלכתי לים ו...,4:00-5:00,הורים- הילד מספר לפחות 3 משפטים,1,,
62,הבעה,מה הילד חושב?,5:00-6:00,,1,,
63,הבעה,מה קרה לילדה? מה היא יכולה לשאול את אמא?,5:00-6:00,,1,,
64,הבעה,בית מתחיל ב? ודלת מתחילה ב? ,5:00-6:00,,1,,
65,הבעה,ספר מה קרה לפי הסדר,5:00-6:00,,1,,
66,הבעה,מה אתה רואה בתמונה,5:00-6:00,,1,,
67,הבעה,למה הילד רטוב? ומה הוא יכול לעשות? ,5:00-6:00,,1,,
68,הבעה,למה הילד מאוכזב? ,5:00-6:00,,1,,
